,0
Useful Life,30
Wind Cost ($/kW),1179.9
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),554.41344
Wind capacity (MW),522
Solar capacity (MW),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008524165.6903014
Debt Equity,60
ATB Year,2030
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),3.0
Ren PTC first year ($/kg),0.7664579595824283
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,-526310427.7428876
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),21.63333103013068
Grid Price ($/MWh),93.83010424
Electricity CF (-),1.0
Wind plant CF (-),0.3678451799958335
Wind annual energy (MWh),1691719.9828008383
Solar plant CF (-),0
Solar annual energy (MWh),0
LCOH ($/kg),1.886157355042986
Electrolyzer CF (-),0.9518373167877198
Fraction of electricity from renewables (-),"[0.42202993 0.41597092 0.41008343 0.40436027 0.39879465 0.39338017
 0.38811074 0.38298062 0.38158033 0.41597092 0.41008343 0.40436027
 0.39879465 0.39338017 0.38811074 0.38298062 0.38158033 0.41597092
 0.41008343 0.40436027 0.39879465 0.39338017 0.38811074 0.38298062
 0.38158033 0.41597092 0.41008343 0.40436027 0.39879465 0.39338017]"
Average stack life (hrs),78059
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1180478863.4996228
Hydrogen transmission total CAPEX ($),32973833.977459792
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.0026251008189268994
LCOH: Electrolyzer CAPEX ($/kg),0.0541106975457363
LCOH: Desalination CAPEX ($/kg),0.00011611195330241342
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.0752748738237094
LCOH: Wind Plant CAPEX ($/kg),0.1254793143176252
LCOH: Wind Plant FOM ($/kg),0.20769193339703196
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-2.023642247961445
LCOH: Water consumption ($/kg),0.01261213720316623
LCOH: Grid electricity ($/kg),3.2044222200805077
LCOH: Bulk H2 Transmission ($/kg),0.14197192636042655
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),884.545545369472
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.301776968513747
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.0654988
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.57733029999986
Steel price: Hydrogen ($/tonne),124.41093913863534
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),50.475760854647554
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.399314321390246
Steel price: Equipment Financing ($/tonne),95.71351785395868
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),898.1103503253106
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.3721094277537144
Ammonia price: Electricity ($/kg),0.04883100178329279
Ammonia price: Cooling water ($/kg),0.00023535201871999998
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.007166526800321124
Ammonia price: Equipment Financing ($/kg),0.025236547679972705
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),0.4980818033923148
