,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.0315040650406504
11,Financing cash outflow,H2 Pre-heating,0.24412156391256717
12,Financing cash outflow,Oxygen Supply,0.43923011297456444
13,Operating Expenses,Raw Water Withdrawal,0.4764879062999999
14,Financing cash outflow,Cooling Tower,0.5415522819405139
15,Financing cash outflow,Electrical & Instrumentation,1.0697511551540577
16,Financing cash outflow,Other Miscellaneous Costs,1.0697515815796057
17,Financing cash outflow,Piping,1.6046267313730436
18,Operating Expenses,Lime,2.0892359999999996
19,Operating Expenses,Cash on hand reserve,2.1783409223630357
20,Financing cash outflow,"Buildings, Storage, Water Service",2.368448848681997
21,Operating Expenses,Natural Gas,2.9346605827131294
22,Financing cash outflow,Shaft Furnace,3.5343225303367887
23,Operating Expenses,Maintenance Labor Cost,4.512346615587342
24,Financing cash outflow,EAF & Casting,6.557112210606703
25,Operating Expenses,Slag Disposal,6.560037899999999
26,Operating Expenses,Installation cost,7.0497983971742215
27,Operating Expenses,Maintenance Materials,7.719999999999997
28,Financing cash outflow,Repayment of debt,9.425039456042693
29,Operating Expenses,Property tax and insurance,10.457350209935907
30,Operating Expenses,Carbon,11.722481999999994
31,Financing cash outflow,Interest expense,15.566555391270866
32,Operating Expenses,Administrative & Support Labor Cost,21.492390509273847
33,Financing cash outflow,Income taxes payable,35.04318258537542
34,Operating Expenses,Electricity,65.37590148523331
35,Operating Expenses,Annual Operating Labor Cost,81.45721542150804
36,Operating Expenses,Hydrogen,94.17933664986461
37,Financing cash outflow,Dividends paid,103.08640709325843
38,Operating Expenses,Iron Ore,360.91589039999997
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.03150406504065282
45,Operating Revenue,Cash on hand recovery,2.1783409223630357
46,Financing cash inflow,Monetized tax losses,4.172716308298724
47,Financing cash inflow,Inflow of debt,9.425039456042693
48,Financing cash inflow,Inflow of equity,21.074790349184973
49,Operating Revenue,Steel sales,822.8206895065712
