,0
Useful Life,30.0
Wind Cost ($/kW),1536.0
Solar Cost ($/kW),882.3
Electrolyzer Installed Cost ($/kW),280.54656
Wind capacity (MW),522.0
Solar capacity (MW),500.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),480.0
Total Electricity Production (kWh),4008524165.6903014
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.14933947643225307
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-1050913234.932907
NPV Solar Expenses,-539721922.1625597
NPV HVDC Expenses,0.0
LCOE ($/MWh),51.06761902162874
Grid Price ($/MWh),108.8272752
Electricity CF (-),1.0
"Wind plant CF (-),",0.3029293946768139
Solar plant CF (-),0.18381590226601813
LCOH ($/kg),3.9310374219871704
Electrolyzer CF (-),0.9518373167877195
Fraction of electricity from renewables (-),0.5336614718653285
Average stack life (hrs),78059.0
Number of stack clusters (-),12.0
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0.0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1036016347.8121474
Hydrogen transmission total CAPEX ($),60212943.590268135
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.01757614357511205
LCOH: Electrolyzer CAPEX ($/kg),0.18332932297929466
LCOH: Desalination CAPEX ($/kg),0.0007397336025249052
LCOH: Electrolyzer FOM ($/kg),0.08383418335197526
LCOH:Desalination FOM ($/kg),0.0015821436974556256
LCOH: Electrolyzer VOM ($/kg),0.07110411790168084
LCOH: Wind Plant CAPEX ($/kg),0.41376807370261015
LCOH: Wind Plant FOM ($/kg),0.20769591448173155
LCOH: Solar Plant CAPEX ($/kg),0.4141942167820876
LCOH: Solar Plant FOM ($/kg),0.12280397951949502
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.2921547237524753
LCOH: Water consumption ($/kg),0.010791556728232192
LCOH: Grid electricity ($/kg),2.5179821930648005
LCOH: Bulk H2 Transmission ($/kg),0.17779056635264648
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),967.0435829742876
Steel price: EAF and Casting CAPEX ($/tonne),6.1846605203270215
Steel price: Shaft Furnace CAPEX ($/tonne),3.4885914573058656
Steel price: Oxygen Supply CAPEX ($/tonne),0.4226467940682507
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2404107671350578
Steel price: Cooling Tower CAPEX ($/tonne),0.5204204312173325
Steel price: Piping CAPEX ($/tonne),1.536592542451001
Steel price: Electrical & Instrumentation ($/tonne),1.0243950291676431
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3163713842457856
Steel price: Miscellaneous CAPEX ($/tonne),1.024395437513275
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),4.338771601692345
Steel price: Administrative & Support Labor Cost ($/tonne),19.884669081148818
Steel price: Installation Cost ($/tonne),7.2839629469216955
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.2519536
Steel price: Carbon ($/tonne),11.211920000000001
Steel price: Iron Ore ($/tonne),431.08854930000007
Steel price: Hydrogen ($/tonne),259.29122835427376
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),59.87676681503999
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),13.741162657400542
Steel price: Equipment Financing ($/tonne),51.483309260428776
Steel price: Remaining Financial ($/tonne),10.055090618058742
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),979.939008389957
(-) Steel price: BOS savings ($/tonne),5.965400724344645
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.7755323709673979
Ammonia price: Electricity ($/kg),0.05774867589353187
Ammonia price: Cooling water ($/kg),0.00020137861015999997
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.003984109187444613
Ammonia price: Equipment Financing ($/kg),0.017995039152578537
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),0.8999645211674066
