,0
Useful Life,30.0
Wind Cost ($/kW),1179.9
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),386.3670694410337
Wind capacity (MW),1050.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),3548012472.819107
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1925072825.5443964
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),39.37669518232344
Grid Price ($/MWh),0.0
Electricity CF (-),0.4023306656204429
Wind plant CF (-),0.3678451799958335
Wind annual energy (MWh),3383439.9656016766
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),3.468436087156305
Electrolyzer CF (-),0.3940693450637652
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),25067.0
Number of stack clusters (-),1.0
Hydrogen storage duration (hr),190.18056933510638
Hydrogen storage capacity (kg),4071307.2281207307
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),61713148.485472955
Hydrogen production total CAPEX ($),1658938149.259109
Hydrogen transmission total CAPEX ($),31349473.243549712
Steel Plant Total CAPEX ($),410977442.839572
Ammonia Plant Total CAPEX ($),68328058.33799446
LCOH: Compression & storage ($/kg),0.10882542917095003
LCOH: Electrolyzer CAPEX ($/kg),1.157223781173466
LCOH: Desalination CAPEX ($/kg),0.0016666756976034527
LCOH: Electrolyzer FOM ($/kg),0.2024896775370415
LCOH:Desalination FOM ($/kg),0.004016121696422391
LCOH: Electrolyzer VOM ($/kg),0.0745084072602703
LCOH: Wind Plant CAPEX ($/kg),1.185817887980313
LCOH: Wind Plant FOM ($/kg),0.5045433713239856
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.08754276413219866
LCOH: Water consumption ($/kg),0.012612137203166231
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.12918983398088854
Steel annual production (tonne/year),842053.2692074842
Steel annual capacity margin (%),11.111111111111114
Ammonia annual production (kg/year),281531802.77979535
Ammonia annual capacity margin (%),11.111111111111107
Steel Price with Integration ($/tonne),994.3705166457928
Steel price: EAF and Casting CAPEX ($/tonne),6.798846815824371
Steel price: Shaft Furnace CAPEX ($/tonne),3.5609038367042856
Steel price: Oxygen Supply CAPEX ($/tonne),0.44970829533196954
Steel price: H2 Pre-heating CAPEX ($/tonne),0.24631417441238915
Steel price: Cooling Tower CAPEX ($/tonne),0.5549325080921248
Steel price: Piping CAPEX ($/tonne),1.6479335714622247
Steel price: Electrical & Instrumentation ($/tonne),1.098622381904613
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.4001832036934903
Steel price: Miscellaneous CAPEX ($/tonne),1.0986228198388457
Steel price: Annual Operating Labor Cost ($/tonne),85.61227773970555
Steel price: Maintenance Labor Cost ($/tonne),4.62293590352073
Steel price: Administrative & Support Labor Cost ($/tonne),22.55880341080657
Steel price: Installation Cost ($/tonne),7.674547803780219
Steel price: Maintenance Materials ($/tonne),7.719999999999996
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999998
Steel price: Lime ($/tonne),2.065498799999999
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.57733029999974
Steel price: Hydrogen ($/tonne),228.7780443088298
Steel price: Natural gas ($/tonne),2.716709262358006
Steel price: Electricity ($/tonne),31.139303044901553
Steel price: Slag Disposal ($/tonne),6.5600378999999975
Steel price: Taxes ($/tonne),32.70999466303354
Steel price: Equipment Financing ($/tonne),102.92853589253465
Steel price: Remaining Financial ($/tonne),10.713640564358588
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1008.0196551073933
(-) Steel price: BOS savings ($/tonne),6.76764102324197
Ammonia price: Air Separation by Cryogenic ($/kg),0.0023200018256061767
Ammonia price: Haber Bosch ($/kg),0.001921760324285897
Ammonia price: Boiler and Steam Turbine ($/kg),0.000728705768897882
Ammonia price: Cooling Tower ($/kg),0.0004947171105366617
Ammonia price: Depreciable Nonequipment ($/kg),0.0026248492833555537
Ammonia price: Labor Cost ($/kg),0.019097019561847298
Ammonia price: Maintenance Cost ($/kg),0.0006484847857008787
Ammonia price: Administrative Expense ($/kg),0.0038194039123694594
Ammonia price: Hydrogen ($/kg),0.6842683427982873
Ammonia price: Electricity ($/kg),0.030181784492831293
Ammonia price: Cooling water ($/kg),0.0002353520187199999
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480317
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.008445736268710854
Ammonia price: Equipment Financing ($/kg),0.02922160587967826
Ammonia price: Remaining Financial ($/kg),0.004854020587609302
Ammonia price: Total ($/kg),0.8005479125025131
