,0
ATB Year,2030.0
LCOE ($/MWh),129.7468426
LCOH ($/kg),0.9089094925182891
Hydrogen storage duration (hr),4.0
Hydrogen annual production (kg),62087400.0
Hydrogen production total CAPEX ($),214301857.36468995
Hydrogen transmission total CAPEX ($),0.0
Steel Plant Total CAPEX ($),412559000.36354655
Ammonia Plant Total CAPEX ($),68583140.0999875
LCOH: Hydrogen Storage ($/kg),7.735402123054981e-05
LCOH: Compression ($/kg),0.012999773012356289
LCOH: SMR plant CAPEX ($/kg),0.26179221287750026
LCOH: CO2 Transportation and Storage CAPEX ($/kg),0.0
LCOH: SMR plant FOM ($/kg),0.09862194035423219
LCOH: SMR plant VOM ($/kg),0.468325563264
LCOH: Taxes ($/kg),0.019292648988969912
LCOH: Water charges ($/kg),0.04780000000000001
LCOH: Financial ($/kg),0.0
Steel annual production (tonne steel/year),847159.793814433
Ammonia annual production (kgNH3/year),283239116.4749096
Steel price: EAF and Casting CAPEX ($/tonne),6.768660370715387
Steel price: Shaft Furnace CAPEX ($/tonne),3.5543524950422283
Steel price: Oxygen Supply CAPEX ($/tonne),0.4482255193651443
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2458286474757156
Steel price: Cooling Tower CAPEX ($/tonne),0.5530610212445599
Steel price: Piping CAPEX ($/tonne),1.6420441601466729
Steel price: Electrical & Instrumentation ($/tonne),1.0946961076909225
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.394501557996287
Steel price: Miscellaneous CAPEX ($/tonne),1.0946965440600587
Steel price: Annual Operating Labor Cost ($/tonne),85.12732067360153
Steel price: Maintenance Labor Cost ($/tonne),4.607401597105502
Steel price: Administrative & Support Labor Cost ($/tonne),22.433680567676756
Steel price: Installation Cost ($/tonne),7.651897776689101
Steel price: Maintenance Materials ($/tonne),7.72
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063000001
Steel price: Lime ($/tonne),2.0654988000000007
Steel price: Carbon ($/tonne),12.309440000000004
Steel price: Iron Ore ($/tonne),431.5773303
Steel price: Hydrogen ($/tonne),59.95167012650636
Steel price: Natural gas ($/tonne),0.0014868101535857085
Steel price: Electricity ($/tonne),71.38671279852001
Steel price: Slag Disposal ($/tonne),6.560037900000001
Steel price: Taxes ($/tonne),12.469216613789047
Steel price: Equipment Financing ($/tonne),48.93838029739569
Steel price: Remaining Financial ($/tonne),10.677639854242184
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),801.7502684457168
(-) Steel price: BOS savings ($/tonne),6.730104170303027
Ammonia price: Air Separation by Cryogenic ($/kg),0.002314397858386328
Ammonia price: Haber Bosch ($/kg),0.0019171183098948565
Ammonia price: Boiler and Steam Turbine ($/kg),0.000726945579230466
Ammonia price: Cooling Tower ($/kg),0.0004935221207569354
Ammonia price: Depreciable Nonequipment ($/kg),0.0026193047957111804
Ammonia price: Labor Cost ($/kg),0.019010619335310223
Ammonia price: Maintenance Cost ($/kg),0.0006492694153353944
Ammonia price: Administrative Expense ($/kg),0.003802123867062044
Ammonia price: Hydrogen ($/kg),0.17931366661250359
Ammonia price: Electricity ($/kg),0.06884954481995974
Ammonia price: Cooling water ($/kg),5.580990977316857e-06
Ammonia price: Iron based catalyst ($/kg),0.002118031527748032
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.0021116720335294247
Ammonia price: Equipment Financing ($/kg),0.013404280496045282
Ammonia price: Remaining Financial ($/kg),0.004842773198387861
Ammonia price: Total ($/kg),0.31174257695881147
