,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Compression,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
6,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
7,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
8,Operating Expenses,Licensing and Permitting,0.0
9,Financing cash outflow,Solar Plant,0.0
10,Operating Expenses,Administrative expenses,0.0
11,Operating Expenses,Labor,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Installation cost,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Credit card fees,0.0
16,Operating Expenses,Road tax,0.0
17,Operating Expenses,Total annual maintenance,0.0
18,Operating Expenses,Non-depreciable assets,0.00011370520891750185
19,Financing cash outflow,Desalination,0.0003765972460594557
20,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
21,Operating Expenses,Property insurance,0.003043371980067738
22,Operating Expenses,Water,0.010791556728232189
23,Operating Expenses,Cash on hand reserve,0.01538181041324404
24,Financing cash outflow,Repayment of debt,0.02813445746256159
25,Financing cash outflow,Interest expense,0.044488018030042195
26,Operating Expenses,Var O&M,0.07527468904833468
27,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
28,Financing cash outflow,Electrolysis system,0.08880850092102793
29,Financing cash outflow,Income taxes payable,0.09978121459278623
30,Financing cash outflow,Dividends paid,0.2963577975428255
31,Operating Expenses,Grid Electricity Cost,4.032385308162072
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891747475
37,Operating Revenue,Cash on hand recovery,0.01538181041324404
38,Financing cash inflow,Monetized tax losses,0.01628978750651306
39,Financing cash inflow,Inflow of debt,0.02813445746256159
40,Financing cash inflow,Inflow of equity,0.05548470603440883
41,Operating Revenue,Hydrogen sales,4.665027848214525
