,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Compression,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
6,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
7,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
8,Operating Expenses,Licensing and Permitting,0.0
9,Financing cash outflow,Solar Plant,0.0
10,Operating Expenses,Administrative expenses,0.0
11,Operating Expenses,Labor,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Installation cost,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Credit card fees,0.0
16,Operating Expenses,Road tax,0.0
17,Operating Expenses,Total annual maintenance,0.0
18,Operating Expenses,Non-depreciable assets,0.00011370520891750185
19,Financing cash outflow,Desalination,0.0003765972460594557
20,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
21,Operating Expenses,Water,0.012824095259422248
22,Operating Expenses,Cash on hand reserve,0.02335928983585684
23,Operating Expenses,Property insurance,0.023782706548504833
24,Operating Expenses,Var O&M,0.07527468904833468
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
26,Financing cash outflow,Repayment of debt,0.22174463875407882
27,Financing cash outflow,Interest expense,0.33733967462013315
28,Financing cash outflow,Income taxes payable,0.4394651395805086
29,Financing cash outflow,Electrolysis system,0.706961272666218
30,Financing cash outflow,Dividends paid,1.5813642199648053
31,Operating Expenses,Grid Electricity Cost,4.965409720053777
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891804403
37,Operating Revenue,Cash on hand recovery,0.02335928983585684
38,Financing cash inflow,Monetized tax losses,0.0339203572344312
39,Financing cash inflow,Inflow of debt,0.2217446387540788
40,Financing cash inflow,Inflow of equity,0.4113659473533167
41,Operating Revenue,Hydrogen sales,7.783007097904013
